链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓
"https://my-vivo.cbg.163.com/cgi/mweb/equip/351/202306111101716-351-W7YJ2KBM6S6V?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越96.09%角色     10红神宠特技x1满级阵法x2,13天2时,,月宫,39678,20063,19615,7935,月宫，花果山,玄彩娥,小羊羔子ヾ,梦灵珑(仙族),"21","43,525",45,3282,1891,407,744,924,855,173,1880,1%,0%,0%,0%,1387,1394,37,19,0,0,10,体质：69魔力：69力量：451耐力：72敏捷：74,孙悟空（天地）、孙婆婆（天地）、老鼠精（天地）、红孩儿（天地）、李天王（天地）、铁扇公主（天地）、唐僧（天地）、菩提老祖（天地）、惠岸行者（天地）、阎罗王（天）、杏林仙（天）、万圣公主（天）、北海龙子（天）、西海龙王（天）、法明长老（天）、哪吒（天）、司药御侍（天）、小白龙（天）、星宿神君（天）、白无常（天）、大当家（天）、观音菩萨（天）、蝎子精（天）、猪八戒（天）、九灵元圣（天）、金箍棒灵（天）、北海龙女（天）、百花羞（天）、牛魔王（天）、太白金星（天）、飞霞（天）、空度禅师（天）、黄眉（天）、白象王（天）、大鹏王（天）,1148,竞技场·助人为乐、地煞·履水吐焰、剑会群雄·百胜、竞技场·百胜、剑会群雄·战将一级、剑会群雄·嗜血、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·小试牛刀、渔家乐·在水一方、望舒仙子、梦幻迷城·精英三级、武林高手、竞技场·百战、剑会群雄·显赫、如鱼水·浪里白条、倚马七纸、剑会群雄·助人为乐、精灵小助手·窥径、厚德树人
"https://my-vivo.cbg.163.com/cgi/mweb/equip/421/202310301601716-421-R69EFMXJEO9N?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越94.40%角色     双蓝装备x19红神宠特技x2逆满法宝x1满阶门派法宝满阶乾坤一脉,12天20时,,花果山,42929,22193,20736,8220,月宫，大唐官府，花果山,龙太子，剑侠客，漠少君,λヌギたミ罙,龙太子,"12","1,909,255",54,3742,1940,433,778,740,891,161,1914,0%,0%,0%,0%,0,1380,33,0,13,0,32,体质：69魔力：69力量：468耐力：69敏捷：69,阎罗王（⭐ ）、孙悟空（⭐ ）、飞霞（⭐ ）、惠岸行者（天地）、万圣公主（天）、北海龙子（天）、西海龙王（天）、哪吒（天）、法明长老（天）、孙婆婆（天）、小白龙（天）、老鼠精（天）、红孩儿（天）、李天王（天）、观音菩萨（天）、铁扇公主（天）、猪八戒（天）、唐僧（天）、菩提老祖（天）、金箍棒灵（天）、空度禅师（天）、大鹏王（天）、星宿神君、百花羞,915,剑会群雄·勇者三级、剑会群雄·救死扶伤、竞技场·小试牛刀、竞技场·百战、倚马七纸、明日之星、剑会群雄·助人为乐、剑会群雄·崇拜、六星地煞·移山覆海、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·嗜血、竞技场·十胜、精灵小助手·窥径、福地戍卫
"https://my-vivo.cbg.163.com/cgi/mweb/equip/441/202311191001716-441-P8UFMTAUDJFY?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越87.16%角色     8红神宠特技x1逆满法宝x1,13天17时,,花果山,32109,18339,13770,8071,龙宫，月宫，花果山,无,销魂べ,龙太子,"2","29,331",54,3763,1892,429,810,748,917,161,1867,0%,0%,0%,0%,0,1402,16,0,0,0,0,体质：69魔力：69力量：465耐力：69敏捷：72,红孩儿（天地）、牛魔王（天）、铁扇公主（天）、小白龙（天）、西海龙王（天）、百花羞、汤圆、星宿神君,929,竞技场·百胜、竞技场·小试牛刀、武林高手、竞技场·百战、倚马七纸、剑会群雄·精英三级、剑会群雄·助人为乐、剑会群雄·钦佩、梦幻迷城·新秀三级、地煞·履水吐焰、擂台争霸·战将、剑会群雄·百胜、为人师表、剑会群雄·小试牛刀、如鱼水·浪里白条、精灵小助手·窥径
"https://my-vivo.cbg.163.com/cgi/mweb/equip/533/202311010901716-533-QE5PJ6ACNMOW?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越78.16%角色     神兽x18红神宠特技x1满阶门派法宝,12天14时,,花果山,35879,19901,15978,7090,狮驼岭，月宫,虎头怪,月儿弯弯ǐ,龙太子,"0","922,969",11,3229,1831,396,659,662,914,203,1530,1%,0%,0%,0%,0,1389,36,18,0,13,0,体质：71魔力：73力量：416耐力：71敏捷：70,孙悟空（天地）、李天王（天地）、惠岸行者（天地）、西海龙王（天）、小白龙（天）、铁扇公主（天）、汤圆、星宿神君、杨戬、大当家、观音菩萨、北海龙女、金角大王、百花羞、牛魔王、太白金星,792,地煞·御风神行、江湖小虾、竞技场·百胜、剑会群雄·精英一级、竞技场·百战、剑会群雄·十胜、梦幻迷城·新秀三级、竞技场·嗜血、剑会群雄·敬重、剑会群雄·小试牛刀、六韬三略、精灵小助手·窥径、福地戍卫
"https://my-vivo.cbg.163.com/cgi/mweb/equip/318/202311182301716-318-BNIDUUENNFBP?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,8红神宠特技x1满级阵法x1,13天6时,,月宫,35003,19740,15263,7809,大唐官府,剑侠客,高小鸡,龙太子,"576","10,983",26,3302,1729,388,718,900,806,206,1833,1%,0%,0%,0%,1396,1393,0,0,0,16,0,体质：73魔力：69力量：426耐力：74敏捷：74,铁扇公主（⭐ ⭐ ⭐ ）、飞霞（⭐ ）、牛魔王（天地）、孙悟空（天地）、惠岸行者（天地）、小白龙（天地）、星宿神君（天地）、红孩儿（天地）、大鹏王（天地）、李天王（天地）、百花羞（天）、蝎子精（天）、猪八戒（天）、西海龙王（天）、汤圆（天）,784,地煞·御风神行、太阴清客、江湖小虾、剑会群雄·钦佩、竞技场·嗜血、六韬三略、精灵小助手·窥径、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、诲人不倦、剑会群雄·精英二级、剑会群雄·助人为乐、竞技场·助人为乐、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·小试牛刀、亿万热爱·青春梦幻
"https://my-vivo.cbg.163.com/cgi/mweb/equip/664/202311180801716-664-NMEHKJCHRGVJ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       门派排名第10名     特技x1,13天5时,,狮驼岭,31004,17373,13631,6947,狮驼岭，月宫,杀破狼，龙太子,陳小果,杀破狼,"0","535,202",54,3882,1797,411,709,654,815,158,1854,0%,0%,0%,0%,10,1380,38,0,0,0,10,体质：69魔力：69力量：464耐力：69敏捷：73,唐僧（⭐ ）、孙悟空（天地）、汤圆（天地）、惠岸行者（天地）、飞霞（天地）、猪八戒（天）、西海龙王、小白龙、星宿神君、沙和尚、百花羞、玉面狐狸,815,剑会群雄·勇者三级、竞技场·百胜、剑会群雄·救死扶伤、摸鱼儿·初涉垂钓、竞技场·小试牛刀、渔家乐·在水一方、武林高手、竞技场·百战、百兽统领、剑会群雄·助人为乐、剑会群雄·钦佩、地煞·履水吐焰、剑会群雄·百胜、梦幻迷城·勇者一级、剑会群雄·小试牛刀、六韬三略、精灵小助手·窥径
"https://my-vivo.cbg.163.com/cgi/mweb/equip/365/202311182101716-365-4UPZ6ZVFBMRW?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越74.05%角色     8红神宠逆满法宝x1满级阵法x2,13天4时,,月宫,34895,19206,15689,7514,大唐官府，月宫，花果山,剑侠客,柠檬心°,龙太子,"149","68,504",54,3484,1821,419,787,709,880,175,1918,0%,0%,0%,0%,1397,1380,19,0,14,0,0,体质：73魔力：69力量：457耐力：72敏捷：73,铁扇公主（天地）、杏林仙（天地）、北海龙子（天地）、九灵元圣（天地）、汤圆（天地）、牛魔王（天地）、小白龙（天地）、红孩儿（天地）、西海龙王（天）、金箍棒灵（天）、百花羞（天）、镇元子（天）、黄眉（天）、飞霞（天）、星宿神君（天）,1043,太阴清客、江湖小虾、剑会群雄·精英一级、六星地煞·移山覆海、为人师表、竞技场·十胜、精灵小助手·窥径、倚马七纸、剑会群雄·十胜、梦幻迷城·新秀三级、剑会群雄·扬名、剑会群雄·小试牛刀
"https://my-vivo.cbg.163.com/cgi/mweb/equip/351/202311182101716-351-YUJVYLYTD1PP?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,       同价位超越94.95%角色     双蓝装备x110红神宠特技x2逆满法宝x1满阶门派法宝满阶乾坤一脉,13天4时,,花果山,40034,22375,17659,8361,大唐官府，月宫，花果山,巫蛮儿，舞天姬,小白有点白,梦灵珑(仙族),"14","1,199,489",51,3519,1889,393,786,825,893,184,1914,1%,0%,0%,0%,7,1399,16,0,0,0,26,体质：76魔力：79力量：420耐力：82敏捷：84,红孩儿（⭐ ⭐ ）、蝎子精（⭐ ⭐ ）、牛魔王（⭐ ⭐ ）、大鹏王（⭐ ⭐ ）、阎罗王（天地）、孙悟空（天地）、黄袍怪（天地）、孙婆婆（天地）、小白龙（天地）、铁扇公主（天地）、九灵元圣（天地）、金箍棒灵（天地）、惠岸行者（天地）、飞霞（天地）、玉面狐狸（天地）、万圣公主（天）、玉兔精（天）、西海龙王（天）、嫦娥（天）、汤圆（天）、法明长老（天）、哪吒（天）、星宿神君（天）、李天王（天）、猪八戒（天）、沙和尚（天）、百花羞（天）、太白金星（天）、黄眉（天）、白象王（天）,1203,剑会群雄·封印有术、度邪灵姝、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、竞技场·百战、剑会群雄·显赫、剑会群雄·勇者二级、明日之星、剑会群雄·助人为乐、梦幻迷城·新秀二级、六星地煞·移山覆海、剑会群雄·百胜、剑会群雄·嗜血、八斗之才、精灵小助手·窥径
"https://my-vivo.cbg.163.com/cgi/mweb/equip/351/202311181701716-351-VLACNUMYY2KV?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,9红神宠特技x1逆满法宝x1满阶门派法宝满阶乾坤一脉满级阵法x1,13天,,月宫,40175,22318,17857,7988,狮驼岭，花果山,虎头怪，神天兵，巨魔王,Nix°故城,龙太子,"10","14,486",54,3429,1912,426,775,1008,887,154,1852,1%,0%,0%,0%,1380,1397,37,0,0,0,10,体质：70魔力：69力量：463耐力：71敏捷：71,阎罗王（天地）、孙悟空（天地）、青狮王（天地）、杏林仙（天地）、万圣公主（天地）、北海龙子（天地）、玉兔精（天地）、黄袍怪（天地）、西海龙王（天地）、汤圆（天地）、嫦娥（天地）、法明长老（天地）、哪吒（天地）、青莲仙女（天地）、镇元子（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、星宿神君（天地）、老鼠精（天地）、红孩儿（天地）、李天王（天地）、大当家（天地）、观音菩萨（天地）、蝎子精（天地）、猪八戒（天地）、铁扇公主（天地）、唐僧（天地）、九灵元圣（天地）、菩提老祖（天地）、黑无常（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、百花羞（天地）、牛魔王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、空度禅师（天地）、飞霞（天地）、酒肉和尚（天地）、玉面狐狸（天地）、白象王（天地）、大鹏王（天地）、银角大王（天）、情丝娘子（天）、白无常（天）、杨戬（天）、九头虫（天）、金角大王（天）、北海龙王（天）、黄眉（天）,1152,竞技场·千战、七星地煞·举火燎天、江湖小虾、渔家乐·在水一方、剑会群雄·绝世、剑会群雄·千胜、渔歌子·海天阔处、为人师表、剑会群雄·嗜血、竞技场·嗜血、梦幻迷城·精英一级、精灵小助手·窥径、竞技场·救死扶伤、剑会群雄·战将一级、竞技场·百胜、考古者·古迹烟尘、倚马七纸、剑会群雄·助人为乐、竞技场·助人为乐、剑会群雄·慈悲为怀
"https://my-vivo.cbg.163.com/cgi/mweb/equip/318/202303291201716-318-EAGLD0DLYK2T?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700904161513heiMz&tag=user",69,8红神宠,12天,,月宫,34380,19412,14968,7470,月宫，大唐官府，狮驼岭,神天兵，龙太子，剑侠客，杀破狼,执筆画倾颜ι,龙太子,"0","61,928",15,3103,1737,411,719,959,804,193,1847,0%,0%,0%,0%,1380,1380,0,0,0,0,0,体质：69魔力：69力量：429耐力：69敏捷：69,老鼠精（天地）、红孩儿（天地）、猪八戒（天地）、铁扇公主（天地）、孙悟空（天）、北海龙子（天）、西海龙王（天）、孙婆婆（天）、司药御侍（天）、小白龙（天）、星宿神君（天）、菩提老祖（天）、北海龙女（天）、百花羞（天）、牛魔王（天）、惠岸行者（天）、蝎子精,739,地煞·御风神行、太阴清客、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·小试牛刀、渔家乐·在水一方、剑会群雄·精英一级、武林高手、梦幻竞猜·见时知几、剑会群雄·助人为乐、剑会群雄·崇拜、西江月·无名渔夫、剑会群雄·百胜、剑会群雄·嗜血、为人师表、梦幻迷城·先锋二级、六韬三略、竞技场·十胜、精灵小助手·窥径
