链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓
"https://my.cbg.163.com/cgi/mweb/equip/287/202311202301716-287-VBNFUMFMX9OF?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,8红神宠逆满法宝x1满阶门派法宝满级阵法x3,,2023-11-26 23:23,花果山,37103,21849,15254,8179,大唐官府，月宫，狮驼岭，花果山,剑侠客，龙太子，虎头怪,香克斯ι,神天兵,"2","57,585",51,3706,1935,454,728,760,947,147,1862,1%,0%,0%,0%,0,1402,0,16,13,0,21,体质：69魔力：69力量：465耐力：69敏捷：69,李天王（⭐ ⭐ ⭐ ）、九灵元圣（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、阎罗王（⭐ ）、北海龙子（⭐ ）、唐僧（⭐ ）、牛魔王（⭐ ）、飞霞（⭐ ）、大鹏王（⭐ ）、青狮王（天地）、孙婆婆（天地）、红孩儿（天地）、铁扇公主（天地）、猪八戒（天地）、蝎子精（天地）、菩提老祖（天地）、惠岸行者（天地）、酒肉和尚（天地）、西海龙王（天）、哪吒（天）、法明长老（天）、镇元子（天）、小白龙（天）、九头虫（天）、北海龙女（天）、沙和尚（天）、百花羞（天）、金角大王（天）、北海龙王（天）、空度禅师（天）、玉面狐狸（天）、杏林仙、万圣公主、黄袍怪、汤圆、情丝娘子、司药御侍、星宿神君、老鼠精、杨戬、大当家、观音菩萨、太白金星、地藏菩萨、白象王,1144,梦幻卡牌·初学乍练、江湖小虾、剑会群雄·封印有术、竞技场·百胜、竞技场·百战、剑会群雄·千胜、倚马七纸、剑会群雄·精英三级、剑会群雄·助人为乐、伏妖行者、精灵小助手·小成、梦幻迷城·新秀二级、竞技场·助人为乐、剑会群雄·嗜血、地煞·履水吐焰、竞技场·嗜血、如鱼水·浪里白条、剑会群雄·慈悲为怀、剑会群雄·惊奇、亿万热爱·青春梦幻、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/649/202311201101716-649-M24SD9YL6M1L?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,8红神宠特技x1,,2023-11-26 23:08,花果山,31920,18669,13251,7279,阴曹地府，化生寺，小雷音，龙宫，普陀山，狮驼岭，月宫，大唐官府,巨魔王，逍遥生，龙太子，虎头怪，杀破狼,小博同学,龙太子,"61","1,059,950",54,3182,1859,427,788,645,871,191,1731,2%,0%,0%,0%,10,1380,82,18,0,0,0,体质：69魔力：69力量：468耐力：69敏捷：69,孙悟空（⭐ ⭐ ⭐ ）、李天王（⭐ ⭐ ）、北海龙子（⭐ ）、唐僧（⭐ ）、牛魔王（⭐ ）、酒肉和尚（⭐ ）、惠岸行者（天地）、铁扇公主（天）、猪八戒（天）、汤圆（天）、空度禅师（天）、小白龙（天）、白无常（天）、红孩儿（天）、蝎子精、黄袍怪、西海龙王、百花羞、飞霞、星宿神君、老鼠精、大鹏王,947,渔家乐·在水一方、竞技场·治疗高手、剑会群雄·勇者一级、剑会群雄·崇拜、六星地煞·移山覆海、竞技场·嗜血、如鱼水·浪里白条、福地戍卫、精灵小助手·窥径、竞技场·救死扶伤、竞技场·百胜、梦幻迷城·勇者二级、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、倚马七纸、明日之星、剑会群雄·治疗高手、剑会群雄·百胜、剑会群雄·小试牛刀
"https://my.cbg.163.com/cgi/mweb/equip/116/202311202201716-116-VDSM5O2QPM7A?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,逆满法宝x1满级阵法x1,,2023-11-26 22:47,花果山,34018,18718,15300,7785,月宫，大唐官府，花果山,龙太子，剑侠客,钱多多°,龙太子,"15","65,775",49,3600,1861,446,772,714,954,170,1961,1%,0%,0%,0%,0,1408,0,0,0,0,12,体质：70魔力：69力量：461耐力：69敏捷：70,大鹏王（⭐ ⭐ ⭐ ）、阎罗王（⭐ ⭐ ）、九灵元圣（⭐ ⭐ ）、铁扇公主（⭐ ）、孙悟空（⭐ ）、北海龙子（⭐ ）、唐僧（⭐ ）、酒肉和尚（⭐ ）、李天王（⭐ ）、菩提老祖（天地）、牛魔王（天地）、惠岸行者（天地）、红孩儿（天地）、九头虫（天）、猪八戒（天）、西海龙王（天）、汤圆（天）、法明长老（天）、百花羞（天）、太白金星（天）、小白龙（天）、飞霞（天）、老鼠精（天）、白无常（天）、杨戬（天）、司药御侍、星宿神君,962,剑会群雄·封印有术、剑会群雄·战将一级、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、摸鱼儿·初涉垂钓、考古者·古迹烟尘、武林高手、竞技场·百战、剑会群雄·显赫、倚马七纸、剑会群雄·助人为乐、伏妖行者、六星地煞·移山覆海、剑会群雄·百胜、剑会群雄·嗜血、为人师表、一星天罡·开天辟地、精灵小助手·窥径、梦幻迷城·先锋三级
"https://my.cbg.163.com/cgi/mweb/equip/4/202311202201716-4-VYBKJLZGUZ9ZDN?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,8红神宠特技x1,,2023-11-26 22:40,狮驼岭,28870,17161,11709,7559,魔王寨，狮驼岭，小雷音，月宫,巨魔王，杀破狼，龙太子,再续前缘、宸,杀破狼,"0","144,167",17,4371,1765,417,689,753,725,168,1834,1%,0%,0%,0%,12,1386,0,0,0,0,0,体质：70魔力：70力量：425耐力：69敏捷：73,孙悟空（⭐ ⭐ ⭐ ）、铁扇公主（天地）、唐僧（天地）、惠岸行者（天地）、小白龙（天地）、司药御侍（天地）、红孩儿（天地）、大鹏王（天地）、西海龙王（天）、汤圆（天）、百花羞（天）、牛魔王（天）、北海龙王（天）、地藏菩萨（天）、飞霞（天）、星宿神君（天）,630,地煞·御风神行、江湖小虾、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、竞技场·百战、百兽统领、剑会群雄·勇者一级、剑会群雄·助人为乐、剑会群雄·崇拜、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·小试牛刀、精灵小助手·窥径、日诵五车
"https://my.cbg.163.com/cgi/mweb/equip/6/202311202201716-6-G0LAM1KFEBEB8V?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,9红神宠特技x1逆满法宝x1满级阵法x1,,2023-11-26 22:40,花果山,39672,20551,19121,7958,大唐官府，月宫，花果山,剑侠客，龙太子,超人不会飞．,龙太子,"262","154,658",54,3573,1911,393,725,774,912,204,1871,1%,0%,0%,0%,7,1389,17,0,0,14,10,体质：69魔力：69力量：468耐力：69敏捷：69,孙悟空（天地）、西海龙王（天地）、孙婆婆（天地）、小白龙（天地）、老鼠精（天地）、红孩儿（天地）、九头虫（天地）、唐僧（天地）、惠岸行者（天地）、大鹏王（天地）、阎罗王（天）、青狮王（天）、万圣公主（天）、北海龙子（天）、玉兔精（天）、嫦娥（天）、杨戬（天）、观音菩萨（天）、铁扇公主（天）、猪八戒（天）、蝎子精（天）、九灵元圣（天）、牛魔王（天）、百花羞（天）、太白金星（天）、酒肉和尚（天）、白象王（天）、黄袍怪、汤圆、司药御侍、星宿神君、北海龙女、飞霞,1060,竞技场·百胜、剑会群雄·救死扶伤、摸鱼儿·初涉垂钓、竞技场·小试牛刀、武林高手、竞技场·百战、倚马七纸、剑会群雄·显赫、剑会群雄·勇者二级、剑会群雄·助人为乐、伏妖行者、六星地煞·移山覆海、剑会群雄·百胜、剑会群雄·嗜血、为人师表、梦幻卡牌·登堂入室、精灵小助手·窥径、梦幻迷城·先锋三级
"https://my.cbg.163.com/cgi/mweb/equip/287/202311202201716-287-YX5VI3ZUWY3D?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,8红神宠特技x1满级阵法x1,,2023-11-26 22:39,花果山,33708,20005,13703,8069,阴曹地府，普陀山，化生寺，花果山，月宫，狮驼岭,虎头怪，羽灵神，剑侠客，龙太子，杀破狼,半倚深秋,龙太子,"0","0",54,3448,1912,417,766,804,932,215,1794,0%,0%,0%,0%,0,1396,33,19,0,0,9,体质：69魔力：69力量：468耐力：69敏捷：69,铁扇公主（天地）、惠岸行者（天）、酒肉和尚（天）、小白龙（天）、西海龙王（天）、红孩儿（天）、李天王（天）、百花羞、情丝娘子、黄袍怪、星宿神君,775,七星地煞·举火燎天、剑会群雄·救死扶伤、剑会群雄·精英一级、武林高手、剑会群雄·助人为乐、剑会群雄·崇拜、伏妖行者、梦幻迷城·新秀二级、剑会群雄·百胜、为人师表、剑会群雄·小试牛刀、六韬三略、竞技场·十胜、精灵小助手·窥径
"https://my.cbg.163.com/cgi/mweb/equip/315/202311202201716-315-3DM2IF7A70DZ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,神兽x1特技x1,,2023-11-26 22:27,方寸山,32833,18771,14062,7314,大唐官府，月宫,剑侠客，龙太子,明楼Rush,剑侠客,"0","0",54,3893,863,415,1156,1309,624,176,1834,1%,0%,0%,0%,1511,1395,17,18,0,0,0,体质：69魔力：69力量：69耐力：238敏捷：299,孙悟空（⭐ ）、唐僧（⭐ ）、酒肉和尚（⭐ ）、猪八戒（天地）、青狮王（天地）、菩提老祖（天地）、汤圆（天地）、惠岸行者（天地）、李天王（天地）、大鹏王（天地）、阎罗王（天）、铁扇公主（天）、百花羞（天）、小白龙（天）、星宿神君（天）、红孩儿（天）、西海龙王、太白金星、孙婆婆、杨戬,976,江湖小虾、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、摸鱼儿·初涉垂钓、竞技场·百战、倚马七纸、剑会群雄·勇者一级、剑会群雄·助人为乐、剑会群雄·崇拜、梦幻迷城·新秀三级、灵台道长、地煞·履水吐焰、剑会群雄·百胜、剑会群雄·嗜血、竞技场·嗜血、精灵小助手·窥径、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/542/202311241001716-542-ZJGBAH2HOEPY?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,神兽x1特技x1满阶门派法宝满阶乾坤一脉,,2023-11-26 22:26,月宫,31697,17020,14677,7077,大唐官府,剑侠客,齊天·大聖,龙太子,"4","569,497",54,2983,1850,405,764,802,817,197,1531,0%,0%,0%,0%,1380,1390,18,18,0,15,0,体质：75魔力：69力量：452耐力：74敏捷：74,孙悟空（⭐ ⭐ ）、惠岸行者（天地）、老鼠精（天）、李天王（天）、铁扇公主（天）、西海龙王、汤圆、星宿神君、白无常、北海龙女、百花羞、飞霞、白象王,646,地煞·御风神行、太阴清客、江湖小虾、竞技场·百胜、竞技场·小试牛刀、竞技场·百战、剑会群雄·先锋二级、剑会群雄·钦佩、剑会群雄·助人为乐、剑会群雄·百胜、剑会群雄·小试牛刀、精灵小助手·窥径、梦幻迷城·先锋三级、日诵五车
"https://my.cbg.163.com/cgi/mweb/equip/476/202311202201716-476-BV66FASLAMQT?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,神兽x1逆满法宝x1满级阵法x1,,2023-11-26 22:19,月宫,28940,18350,10590,7298,花果山，大唐官府，狮驼岭，阴曹地府,龙太子，剑侠客，杀破狼,、月亮,龙太子,"1","0",24,3057,1789,402,649,780,846,151,1865,2%,0%,0%,0%,1391,1387,19,0,0,0,36,体质：69魔力：69力量：438耐力：69敏捷：69,红孩儿（⭐ ⭐ ⭐ ）、李天王（⭐ ⭐ ⭐ ）、铁扇公主（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、菩提老祖（⭐ ）、猪八戒（天地）、唐僧（天地）、牛魔王（天地）、惠岸行者（天地）、青狮王（天）、西海龙王（天）、汤圆（天）、小白龙（天）、星宿神君（天）、百花羞（天）、酒肉和尚（天）、大鹏王（天）,828,剑会群雄·勇者三级、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、明日之星、剑会群雄·助人为乐、剑会群雄·崇拜、梦幻迷城·新秀二级、地煞·履水吐焰、剑会群雄·百胜、竞技场·嗜血、剑会群雄·小试牛刀、六韬三略、精灵小助手·窥径
"https://my.cbg.163.com/cgi/mweb/equip/526/202311202201716-526-ZVC5Q6Z9BZ4U?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700925874330KYQlc&tag=user",69,9红神宠特技x1,,2023-11-26 22:16,狮驼岭,32147,18159,13988,7035,无,无,Dummer·浅时,虎头怪,"0","0",38,3583,1775,408,732,635,789,185,1499,1%,0%,0%,0%,11,1392,35,0,17,0,11,体质：74魔力：69力量：439耐力：71敏捷：75,西海龙王（天）、汤圆（天）、百花羞（天）、北海龙女、惠岸行者、星宿神君,840,七星地煞·举火燎天、剑会群雄·救死扶伤、竞技场·小试牛刀、竞技场·百战、剑会群雄·勇者一级、明日之星、剑会群雄·助人为乐、剑会群雄·崇拜、剑会群雄·百胜、梦幻迷城·先锋一级、为人师表、剑会群雄·小试牛刀、六韬三略、竞技场·十胜、精灵小助手·窥径
