链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓
"https://my.cbg.163.com/cgi/mweb/equip/176/202311211501716-176-XKYI5LTXPXDT?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,,,2023-11-27 15:19,花果山,34548,19662,14886,7367,月宫，大唐官府，狮驼岭,羽灵神，剑侠客，巨魔王,求你打我,龙太子,"16","126,206",48,3192,1821,455,798,645,871,200,1888,1%,0%,0%,0%,19,1380,17,19,0,0,0,体质：69魔力：69力量：462耐力：69敏捷：69,孙悟空（⭐ ⭐ ）、法明长老（⭐ ）、李天王（⭐ ）、铁扇公主（⭐ ）、地藏菩萨（⭐ ）、空度禅师（⭐ ）、北海龙子（天地）、万圣公主（天地）、老鼠精（天地）、白无常（天地）、红孩儿（天地）、蝎子精（天地）、猪八戒（天地）、唐僧（天地）、菩提老祖（天地）、沙和尚（天地）、惠岸行者（天地）、大鹏王（天地）、西海龙王（天）、太白金星（天）、阎罗王、孙婆婆、小白龙、星宿神君、杨戬、金角大王、百花羞、飞霞,790,地煞·御风神行、江湖小虾、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、渔家乐·在水一方、竞技场·百战、剑会群雄·精英二级、剑会群雄·助人为乐、梦幻迷城·新秀三级、剑会群雄·崇拜、伏妖行者、精灵小助手·小成、竞技场·助人为乐、渔歌子·海天阔处、剑会群雄·百胜、剑会群雄·嗜血、为人师表、定风波·河豚克星、六韬三略
"https://my.cbg.163.com/cgi/mweb/equip/190/202311211501716-190-4YS7OEPISKX7?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,9红神宠特技x1满阶门派法宝满阶乾坤一脉满级阵法x2,,2023-11-27 15:15,月宫,38745,21057,17688,8084,大唐官府，月宫，狮驼岭，花果山,飞燕女，梦灵珑(仙族)，巫蛮儿，骨精灵，梦灵珑(魔族)，龙太子，漠少君，虎头怪,去酒吧泡妹子,龙太子,"0","107,487",54,3283,1894,406,765,916,852,210,1833,0%,0%,0%,0%,1380,1399,20,0,0,0,13,体质：69魔力：69力量：468耐力：69敏捷：69,铁扇公主（⭐ ⭐ ⭐ ）、猪八戒（天地）、孙悟空（天地）、惠岸行者（天地）、小白龙（天地）、汤圆（天地）、红孩儿（天地）、大鹏王（天地）、李天王（天地）、观音菩萨（天）、百花羞（天）、太白金星（天）、西海龙王（天）、老鼠精（天）、星宿神君,1090,永夜同归、太阴清客、竞技场·百胜、七星地煞·举火燎天、剑会群雄·勇者三级、摸鱼儿·初涉垂钓、竞技场·小试牛刀、竞技场·百战、剑会群雄·显赫、倚马七纸、明日之星、剑会群雄·助人为乐、精灵小助手·小成、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·嗜血、为人师表、剑会群雄·慈悲为怀
"https://my.cbg.163.com/cgi/mweb/equip/29/202311211501716-29-PZYQWSND9S3ZE?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,9红神宠逆满法宝x1满级阵法x1,,2023-11-27 15:11,花果山,33129,18652,14477,7540,狮驼岭，阴曹地府,巨魔王，虎头怪，杀破狼,_时崎狂三。,龙太子,"32","488,818",54,3394,1905,411,757,647,924,174,1793,2%,0%,0%,0%,13,1387,18,0,17,0,10,体质：73魔力：70力量：460耐力：71敏捷：70,蝎子精（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、阎罗王（⭐ ）、青狮王（⭐ ）、唐僧（⭐ ）、九灵元圣（⭐ ）、菩提老祖（⭐ ）、孙悟空（天地）、汤圆（天地）、法明长老（天地）、孙婆婆（天地）、小白龙（天地）、老鼠精（天地）、红孩儿（天地）、李天王（天地）、观音菩萨（天地）、猪八戒（天地）、铁扇公主（天地）、牛魔王（天地）、惠岸行者（天地）、酒肉和尚（天地）、空度禅师（天地）、白象王（天地）、万圣公主（天）、北海龙子（天）、黄袍怪（天）、西海龙王（天）、嫦娥（天）、哪吒（天）、银角大王（天）、青莲仙女（天）、镇元子（天）、司药御侍（天）、星宿神君（天）、杨戬（天）、白无常（天）、大当家（天）、北海龙女（天）、沙和尚（天）、百花羞（天）、金角大王（天）、北海龙王（天）、太白金星（天）、地藏菩萨（天）、黄眉（天）、飞霞（天）、玉面狐狸（天）,925,七星地煞·举火燎天、江湖小虾、剑会群雄·勇者三级、竞技场·百胜、竞技场·百战、倚马七纸、剑会群雄·显赫、剑会群雄·助人为乐、梦幻迷城·新秀三级、伏妖行者、竞技场·助人为乐、剑会群雄·百胜、剑会群雄·嗜血、为人师表、竞技场·嗜血、剑会群雄·慈悲为怀、精灵小助手·窥径
"https://my.cbg.163.com/cgi/mweb/equip/168/202311211501716-168-AKQMVRS4H401?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,五雷天惩·六件(6/6)10红神宠满级阵法x1,,2023-11-27 15:03,月宫,35533,22339,13194,9444,魔王寨，龙宫，小雷音,巨魔王，杀破狼，龙太子,小长青τ,羽灵神,"25","61,128",54,3369,1747,451,710,943,877,164,1904,1%,0%,0%,0%,1390,1386,17,0,0,0,10,体质：70魔力：70力量：465耐力：70敏捷：69,李天王（⭐ ⭐ ⭐ ）、铁扇公主（⭐ ）、菩提老祖（⭐ ）、酒肉和尚（⭐ ）、阎罗王（天地）、孙悟空（天地）、小白龙（天地）、老鼠精（天地）、九头虫（天地）、唐僧（天地）、牛魔王（天地）、惠岸行者（天地）、西海龙王（天）、汤圆（天）、孙婆婆（天）、司药御侍（天）、红孩儿（天）、九灵元圣（天）、百花羞（天）、太白金星（天）、空度禅师（天）、飞霞（天）、万圣公主、玉兔精、黄袍怪、哪吒、星宿神君、白无常、黑无常、金箍棒灵、北海龙女,1156,太阴清客、江湖小虾、梦幻卡牌·略知一二、渔家乐·在水一方、剑会群雄·显赫、六星地煞·移山覆海、剑会群雄·嗜血、竞技场·嗜血、梦幻迷城·先锋二级、渔家傲·愿者上钩、精灵小助手·窥径、剑会群雄·勇者三级、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、倚马七纸、剑会群雄·助人为乐、临江仙·逍遥渔父、竞技场·助人为乐、剑会群雄·百胜、定风波·河豚克星
"https://my.cbg.163.com/cgi/mweb/equip/47/202311191701716-47-DJYB00Y3JPIR3?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,双蓝装备x29红神宠特技x3满级阵法x1,,2023-11-27 15:00,花果山,33493,18967,14526,8022,大唐官府，月宫,剑侠客,╰☆无情☆╮,羽灵神,"34","20,750",53,3579,1914,422,776,671,954,213,1938,1%,0%,0%,0%,0,1387,0,0,13,0,9,体质：69魔力：69力量：463耐力：71敏捷：71,唐僧（⭐ ⭐ ⭐ ）、菩提老祖（⭐ ⭐ ⭐ ）、法明长老（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、李天王（⭐ ）、阎罗王（天地）、铁扇公主（天地）、猪八戒（天地）、孙悟空（天地）、九灵元圣（天地）、西海龙王（天地）、汤圆（天地）、牛魔王（天地）、惠岸行者（天地）、太白金星（天地）、孙婆婆（天地）、飞霞（天地）、小白龙（天地）、司药御侍（天地）、玉面狐狸（天地）、老鼠精（天地）、红孩儿（天地）、大鹏王（天地）、玉兔精（天）、黄袍怪（天）、北海龙女（天）、百花羞（天）、镇元子（天）、空度禅师（天）、星宿神君（天）,981,江湖小虾、渔家乐·在水一方、剑会群雄·嗜血、竞技场·嗜血、如鱼水·浪里白条、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、倚马七纸、剑会群雄·精英三级、剑会群雄·助人为乐、伏妖行者、竞技场·助人为乐、精灵小助手·小成、剑会群雄·百胜、梦幻迷城·先锋一级、八星地煞·承星载物、剑会群雄·惊奇
"https://my.cbg.163.com/cgi/mweb/equip/267/202311210401716-267-NSAPMWPF3E0X?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,神兽x1特技x1逆满法宝x1,,2023-11-27 14:58,月宫,32435,18582,13853,7629,方寸山，花果山，月宫,剑侠客,微凉徒眸意ξ,龙太子,"0","151,971",21,3170,1770,438,728,775,807,145,1592,0%,1%,0%,0%,1380,1400,16,18,0,14,10,体质：73魔力：73力量：419耐力：74敏捷：72,北海龙子（⭐ ）、孙悟空（天地）、惠岸行者（天地）、铁扇公主（天）、太白金星（天）、大鹏王（天）、阎罗王、百花羞、蝎子精、西海龙王、星宿神君、哪吒、红孩儿,682,太阴清客、剑会群雄·封印有术、竞技场·百胜、竞技场·封印有术、剑会群雄·救死扶伤、竞技场·小试牛刀、武林高手、竞技场·百战、剑会群雄·助人为乐、剑会群雄·钦佩、梦幻迷城·新秀三级、竞技场·助人为乐、地煞·履水吐焰、剑会群雄·百胜、为人师表、剑会群雄·小试牛刀、剑会群雄·先锋三级、精灵小助手·窥径、日诵五车
"https://my.cbg.163.com/cgi/mweb/equip/460/202311211401716-460-NNRJIBPXYFMO?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,       门派排名第7名     9红神宠特技x1满阶门派法宝满阶乾坤一脉满级阵法x1,,2023-11-27 14:54,狮驼岭,38557,21919,16638,7580,月宫，方寸山，化生寺，普陀山，龙宫，花果山，魔王寨,龙太子，剑侠客，逍遥生，虎头怪，越星河,夜店格格巫、,杀破狼,"5","481,710",54,3878,1866,420,748,679,859,216,1849,0%,0%,0%,0%,10,1380,72,21,0,0,13,体质：69魔力：69力量：468耐力：69敏捷：69,北海龙子（⭐ ⭐ ）、李天王（⭐ ⭐ ）、法明长老（⭐ ）、老鼠精（⭐ ）、白无常（⭐ ）、蝎子精（⭐ ）、酒肉和尚（⭐ ）、大鹏王（⭐ ）、阎罗王（天地）、孙悟空（天地）、青狮王（天地）、红孩儿（天地）、铁扇公主（天地）、猪八戒（天地）、唐僧（天地）、九灵元圣（天地）、菩提老祖（天地）、牛魔王（天地）、惠岸行者（天地）、飞霞（天地）、白象王（天地）、西海龙王（天）、黄袍怪（天）、镇元子（天）、孙婆婆（天）、杨戬（天）、黑无常（天）、北海龙女（天）、百花羞（天）、万圣公主、玉兔精、汤圆、嫦娥、哪吒、银角大王、情丝娘子、小白龙、星宿神君、大当家、九头虫、沙和尚、金角大王、太白金星、玉面狐狸,1265,江湖小虾、七星地煞·举火燎天、擂台争霸·勇士、剑会群雄·勇者二级、百兽统领、剑会群雄·崇拜、竞技场·封印高手、竞技场·嗜血、精灵小助手·窥径、竞技场·救死扶伤、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、诲人不倦、剑会群雄·治疗高手、河洛上宾、梦幻迷城·新秀二级、竞技场·助人为乐、西江月·无名渔夫、剑会群雄·百胜、八斗之才、剑会群雄·小试牛刀
"https://my.cbg.163.com/cgi/mweb/equip/267/202311211401716-267-BLKKIE5AKEPE?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,惊雷碎胆·四件(2/4)8红神宠特技x1,,2023-11-27 14:47,狮驼岭,30635,18549,12086,7110,狮驼岭，阴曹地府，花果山，月宫,杀破狼，龙太子,林゛,杀破狼,"1","3,422",54,3843,1766,398,738,641,806,135,1701,1%,0%,0%,0%,16,1380,16,15,0,0,0,体质：70魔力：69力量：466耐力：69敏捷：70,唐僧（⭐ ⭐ ⭐ ）、李天王（⭐ ）、大鹏王（⭐ ）、铁扇公主（天地）、猪八戒（天地）、红孩儿（天地）、九头虫（天）、万圣公主（天）、西海龙王（天）、黄袍怪（天）、汤圆（天）、银角大王（天）、牛魔王（天）、小白龙（天）、司药御侍（天）、酒肉和尚（天）、星宿神君（天）、白象王（天）、百花羞,731,竞技场·救死扶伤、巡山小妖、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、考古者·古迹烟尘、武林高手、竞技场·百战、剑会群雄·勇者一级、剑会群雄·治疗高手、剑会群雄·崇拜、竞技场·助人为乐、地煞·履水吐焰、剑会群雄·百胜、梦幻迷城·先锋一级、剑会群雄·小试牛刀、六韬三略、精灵小助手·窥径
"https://my.cbg.163.com/cgi/mweb/equip/302/202311202301716-302-SRQ61896SUAO?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,8红神宠特技x1逆满法宝x2满阶门派法宝满级阵法x3,,2023-11-27 14:42,花果山,39453,22284,17169,7975,大唐官府，月宫，魔王寨，狮驼岭，花果山,剑侠客，龙太子，杀破狼，虎头怪,如火似骄阳。,龙太子,"11","62,700",54,3689,1908,404,825,781,898,212,1886,2%,0%,0%,0%,0,1397,19,0,0,0,29,体质：69魔力：69力量：411耐力：69敏捷：126,孙悟空（⭐ ⭐ ⭐ ）、菩提老祖（⭐ ⭐ ）、阎罗王（⭐ ）、北海龙子（⭐ ）、白无常（⭐ ）、李天王（⭐ ）、铁扇公主（⭐ ）、唐僧（⭐ ）、牛魔王（⭐ ）、青狮王（天地）、万圣公主（天地）、黄袍怪（天地）、西海龙王（天地）、法明长老（天地）、孙婆婆（天地）、小白龙（天地）、老鼠精（天地）、红孩儿（天地）、观音菩萨（天地）、蝎子精（天地）、猪八戒（天地）、沙和尚（天地）、惠岸行者（天地）、太白金星（天地）、酒肉和尚（天地）、空度禅师（天地）、飞霞（天地）、白象王（天地）、大鹏王（天地）、杏林仙（天）、玉兔精（天）、汤圆（天）、嫦娥（天）、哪吒（天）、星宿神君（天）、杨戬（天）、九头虫（天）、黑无常（天）、北海龙女（天）、百花羞（天）、北海龙王（天）、玉面狐狸（天）,1228,江湖小虾、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、擂台争霸·勇士、渔家乐·在水一方、竞技场·百战、剑会群雄·千胜、桃李天下、剑会群雄·精英三级、梦幻竞猜·见时知几、剑会群雄·助人为乐、伏妖行者、精灵小助手·小成、梦幻迷城·新秀二级、六星地煞·移山覆海、竞技场·助人为乐、剑会群雄·嗜血、竞技场·嗜血、八斗之才、剑会群雄·惊奇、亿万热爱·青春梦幻
"https://my.cbg.163.com/cgi/mweb/equip/529/202311211401716-529-HHZYVBW9ELAK?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700983528479foiUl&tag=user",69,       门派排名第15名     石破天惊·四件(4/4)9红神宠特技x1逆满法宝x1满阶门派法宝满阶乾坤一脉,,2023-11-27 14:36,狮驼岭,36171,20668,15503,8202,阴曹地府,无,沫★沫,骨精灵,"20","61,531",54,3929,1806,413,700,809,835,204,1943,0%,0%,0%,0%,18,1395,23,0,0,0,19,体质：69魔力：69力量：468耐力：69敏捷：69,青狮王（天地）、孙悟空（天地）、西海龙王（天地）、孙婆婆（天地）、红孩儿（天地）、铁扇公主（天地）、九灵元圣（天地）、百花羞（天地）、惠岸行者（天地）、北海龙女（天）、大鹏王（天）、星宿神君,950,剑会群雄·崇拜、江湖小虾、剑会群雄·百胜、竞技场·百胜、剑会群雄·战将二级、剑会群雄·救死扶伤、竞技场·小试牛刀、八星地煞·承星载物、魔岭玫瑰、剑会群雄·小试牛刀、竞技场·百战、竞技场·治疗高手、倚马七纸、剑会群雄·治疗高手、精灵小助手·窥径、梦幻迷城·先锋三级
