链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓
"https://my.cbg.163.com/cgi/mweb/equip/29/202311181601716-29-8AT3OLLCNS12O?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第2名     双蓝装备x2风起雷涌·四件(4/4)满13段珍兽x2神兽x210红神宠,11天14时,,月宫,71193,35672,35521,14231,方寸山，普陀山，化生寺，狮驼岭，月宫，大唐官府，花果山,剑侠客，逍遥生，龙太子，虎头怪，杀破狼，羽灵神,捏捏°,龙太子,"2,755","123,782",53,4953,2898,625,1301,1414,1346,299,2862,3%,0%,0%,0%,2300,2337,29,0,0,0,17,体质：115魔力：115力量：726耐力：117敏捷：130,北海龙子（⭐ ⭐ ⭐ ）、红孩儿（⭐ ⭐ ⭐ ）、铁扇公主（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、李天王（⭐ ⭐ ）、牛魔王（⭐ ⭐ ）、北海龙王（⭐ ⭐ ）、大鹏王（⭐ ⭐ ）、青狮王（⭐ ）、青莲仙女（⭐ ）、观音菩萨（⭐ ）、蝎子精（⭐ ）、九灵元圣（⭐ ）、阎罗王（天地）、杏林仙（天地）、西海龙王（天地）、嫦娥（天地）、汤圆（天地）、法明长老（天地）、星宿神君（天地）、老鼠精（天地）、杨戬（天地）、白无常（天地）、猪八戒（天地）、菩提老祖（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、百花羞（天地）、惠岸行者（天地）、太白金星（天地）、空度禅师（天地）、飞霞（天地）、白象王（天地）、万圣公主（天）、玉兔精（天）、黄袍怪（天）、哪吒（天）、银角大王（天）、情丝娘子（天）、镇元子（天）、孙婆婆（天）、小白龙（天）、司药御侍（天）、大当家（天）、九头虫（天）、黑无常（天）、金角大王（天）、地藏菩萨（天）、黄眉（天）、玉面狐狸（天）,2080,瑶池蜃境·1层通关、问一答十、江湖小虾、九黎·扬名五洲、九黎·号令四方、月宫非凡高手、剑会群雄·千胜、九黎·三韬六略、九星地煞·华光曜日、剑会群雄·战将二级、剑会群雄·嗜血、竞技场·嗜血、月华尊者、擂台争霸·无双、如鱼水·浪里白条、神威月宫非凡高手、竞技场·百胜、考古者·古迹烟尘、竞技场·封印有术、竞技场·百战、武神坛·战将、诲人不倦、剑会群雄·治疗高手、精灵小助手·小成、竞技场·助人为乐、剑会群雄·封印高手、剑会群雄·慈悲为怀、剑会群雄·惊奇、一星天罡·开天辟地、亿万热爱·青春梦幻、梦幻迷城·先锋三级
"https://my.cbg.163.com/cgi/mweb/equip/97/202311201101716-97-2IEG8GYLAMOWP?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第1名     双蓝装备x2惊雷碎胆·四件(4/4)满13段珍兽x2神兽x2法防宠,12天7时,,月宫,68882,34371,34511,13367,大唐官府，花果山，月宫，狮驼岭,剑侠客，龙太子，羽灵神，逍遥生，神天兵，巨魔王,镜玄,龙太子,"31","4,155,751",54,5073,2910,665,1230,1406,1406,305,2690,0%,0%,0%,0%,2300,2300,0,0,55,23,0,体质：115魔力：115力量：744耐力：115敏捷：115,红孩儿（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、青狮王（⭐ ）、孙悟空（⭐ ）、北海龙子（⭐ ）、法明长老（⭐ ）、李天王（⭐ ）、观音菩萨（⭐ ）、铁扇公主（⭐ ）、菩提老祖（⭐ ）、牛魔王（⭐ ）、地藏菩萨（⭐ ）、阎罗王（天地）、杏林仙（天地）、万圣公主（天地）、玉兔精（天地）、西海龙王（天地）、黄袍怪（天地）、嫦娥（天地）、汤圆（天地）、哪吒（天地）、青莲仙女（天地）、镇元子（天地）、孙婆婆（天地）、小白龙（天地）、司药御侍（天地）、老鼠精（天地）、白无常（天地）、杨戬（天地）、大当家（天地）、九头虫（天地）、猪八戒（天地）、蝎子精（天地）、九灵元圣（天地）、黑无常（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、百花羞（天地）、惠岸行者（天地）、北海龙王（天地）、太白金星（天地）、飞霞（天地）、空度禅师（天地）、黄眉（天地）、白象王（天地）、银角大王（天）、情丝娘子（天）、星宿神君（天）、金角大王（天）、玉面狐狸（天）,1947,太阴清客、问一答十、竞技场·千战、江湖小虾、七星地煞·举火燎天、九黎·扬名五洲、九黎·号令四方、渔家乐·在水一方、月宫非凡高手、剑会群雄·崇拜、擂台争霸·战将、剑会群雄·嗜血、竞技场·嗜血、渔家傲·愿者上钩、神威月宫非凡高手、凌波曲·独钓寒江、精灵小助手·登峰、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、剑会群雄·勇者四级、剑会群雄·助人为乐、厚德树人、梦幻迷城·新秀三级、竞技场·助人为乐、剑会群雄·百胜、定风波·河豚克星、一星天罡·开天辟地、亿万热爱·青春梦幻
"https://my.cbg.163.com/cgi/mweb/equip/168/202311091501716-168-ZEOEWOJX7QSJ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       X9地魁组32强            门派排名第1名     双蓝装备x3惊雷碎胆·四件(4/4)满13段珍兽x1壁垒宠12红神宠,11天4时,,月宫,71598,35377,36221,14472,狮驼岭，大唐官府，月宫，花果山,杀破狼，剑侠客，羽灵神，龙太子，逍遥生，神天兵，虎头怪,非酋小背包,羽灵神,"8","3,645,624",54,5221,2814,647,1288,1407,1387,319,2793,2%,0%,0%,0%,2319,2311,54,0,0,0,0,体质：117魔力：115力量：740耐力：116敏捷：116,老鼠精（⭐ ⭐ ⭐ ）、牛魔王（⭐ ⭐ ⭐ ）、北海龙王（⭐ ⭐ ⭐ ）、北海龙子（⭐ ⭐ ）、菩提老祖（⭐ ⭐ ）、阎罗王（⭐ ）、孙悟空（⭐ ）、黄袍怪（⭐ ）、法明长老（⭐ ）、白无常（⭐ ）、红孩儿（⭐ ）、李天王（⭐ ）、大当家（⭐ ）、观音菩萨（⭐ ）、铁扇公主（⭐ ）、蝎子精（⭐ ）、唐僧（⭐ ）、九灵元圣（⭐ ）、北海龙女（⭐ ）、百花羞（⭐ ）、地藏菩萨（⭐ ）、酒肉和尚（⭐ ）、空度禅师（⭐ ）、飞霞（⭐ ）、黄眉（⭐ ）、玉面狐狸（⭐ ）、大鹏王（⭐ ）、青狮王（天地）、杏林仙（天地）、万圣公主（天地）、玉兔精（天地）、西海龙王（天地）、汤圆（天地）、嫦娥（天地）、银角大王（天地）、青莲仙女（天地）、镇元子（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、星宿神君（天地）、杨戬（天地）、九头虫（天地）、猪八戒（天地）、黑无常（天地）、金箍棒灵（天地）、沙和尚（天地）、惠岸行者（天地）、太白金星（天地）、白象王（天地）、哪吒（天）、情丝娘子（天）、金角大王（天）,2034,竞技场·新秀一级、问一答十、九黎·扬名五洲、绝世奇才、九黎·号令四方、渔家乐·在水一方、剑会群雄·绝世、剑会群雄·千胜、剑会群雄·无双一级、渔歌子·海天阔处、神威月宫第一高手、梦幻迷城·精英二级、剑会群雄·嗜血、月华尊者、竞技场·嗜血、擂台争霸·无双、竞技场·救死扶伤、剑会群雄·封印有术、竞技场·百胜、考古者·古迹烟尘、竞技场·百战、敦煌贵客、武神坛·战将、剑会群雄·助人为乐、精灵小助手·小成、竞技场·助人为乐、定风波·河豚克星、月宫第一高手、八星地煞·承星载物、剑会群雄·慈悲为怀、一星天罡·开天辟地、亿万热爱·青春梦幻、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/171/202304291301716-171-0K9XEO6ZDNAD?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第3名     双蓝装备x2风起雷涌·四件(4/4)满13段珍兽x210红神宠特技x4,10天13时,,月宫,70591,34080,36511,13304,狮驼岭，大唐官府，月宫，花果山,骨精灵，巫蛮儿，飞燕女，狐美人，梦灵珑(仙族)，玄彩娥，英女侠，舞天姬，梦灵珑(魔族),小妍°,梦灵珑(仙族),"0","7,759,472",48,5203,2871,656,1196,1366,1345,246,2830,2%,0%,0%,0%,2300,2300,0,0,0,0,0,体质：118魔力：115力量：735耐力：115敏捷：115,北海龙子（⭐ ⭐ ⭐ ）、老鼠精（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、菩提老祖（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、阎罗王（⭐ ）、青狮王（天地）、孙悟空（天地）、杏林仙（天地）、万圣公主（天地）、西海龙王（天地）、法明长老（天地）、青莲仙女（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、杨戬（天地）、红孩儿（天地）、李天王（天地）、大当家（天地）、观音菩萨（天地）、猪八戒（天地）、蝎子精（天地）、铁扇公主（天地）、九灵元圣（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、百花羞（天地）、牛魔王（天地）、北海龙王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、黄眉（天地）、空度禅师（天地）、玉兔精（天）、黄袍怪（天）、嫦娥（天）、哪吒（天）、银角大王（天）、情丝娘子（天）、镇元子（天）、星宿神君（天）、白无常（天）、九头虫（天）、黑无常（天）、金角大王（天）、飞霞（天）、玉面狐狸（天）、白象王（天）,1888,问一答十、瑶池蜃境·1层通关、七星地煞·举火燎天、九黎·扬名五洲、九黎·号令四方、渔家乐·在水一方、九黎·三韬六略、梦幻竞猜·见时知几、桂宫婵娟、剑会群雄·嗜血、竞技场·嗜血、擂台争霸·无双、渔家傲·愿者上钩、永夜同归、凌波曲·独钓寒江、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、绝代佳人、竞技场·百战、神威月宫英才高手、武神坛·战将、剑会群雄·助人为乐、精灵小助手·小成、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·无双二级、海底蜃境·4层通关、定风波·河豚克星、月宫英才高手、剑会群雄·惊奇、一星天罡·开天辟地、亿万热爱·青春梦幻、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/182/202311022301716-182-BOY1EG5BVLAV?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第1名     双蓝装备x1风起雷涌·四件(4/4)满13段珍兽x210红神宠特技x4,7天4时,,月宫,72178,35047,37131,13686,大唐官府，狮驼岭，月宫，花果山,剑侠客，杀破狼，羽灵神，龙太子，神天兵，虎头怪,别煎我三文鱼,龙太子,"3,277","1,988,957",54,5077,2978,630,1218,1372,1400,255,2742,1%,0%,0%,0%,2300,2300,0,0,29,53,0,体质：115魔力：115力量：744耐力：115敏捷：115,北海龙子（⭐ ⭐ ⭐ ）、法明长老（⭐ ⭐ ⭐ ）、老鼠精（⭐ ⭐ ⭐ ）、李天王（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、菩提老祖（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、西海龙王（⭐ ⭐ ）、大鹏王（⭐ ⭐ ）、阎罗王（⭐ ）、小白龙（⭐ ）、观音菩萨（⭐ ）、地藏菩萨（⭐ ）、空度禅师（⭐ ）、青狮王（天地）、汤圆（天地）、镇元子（天地）、孙婆婆（天地）、星宿神君（天地）、白无常（天地）、杨戬（天地）、蝎子精（天地）、铁扇公主（天地）、猪八戒（天地）、九灵元圣（天地）、沙和尚（天地）、惠岸行者（天地）、北海龙王（天地）、飞霞（天地）、杏林仙（天）、万圣公主（天）、玉兔精（天）、黄袍怪（天）、嫦娥（天）、哪吒（天）、银角大王（天）、青莲仙女（天）、情丝娘子（天）、司药御侍（天）、红孩儿（天）、大当家（天）、九头虫（天）、黑无常（天）、金箍棒灵（天）、北海龙女（天）、牛魔王（天）、百花羞（天）、金角大王（天）、黄眉（天）、白象王（天）、太白金星、玉面狐狸,1920,问一答十、七星地煞·举火燎天、剑会群雄·王者一级、渔家乐·在水一方、剑会群雄·千胜、九黎·七星连珠、神威月宫第一高手、盖世英雄、剑会群雄·嗜血、擂台争霸·战将、竞技场·嗜血、月华尊者、渔家傲·愿者上钩、擂台争霸·幕后英雄、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、剑会群雄·助人为乐、临江仙·逍遥渔父、河洛上宾、梦幻迷城·新秀三级、精灵小助手·小成、竞技场·助人为乐、定风波·河豚克星、月宫第一高手、剑会群雄·惊奇、一星天罡·开天辟地、亿万热爱·青春梦幻、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/145/202305300801716-145-DXHGYIOKZGEZ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第3名     双蓝装备x2风起雷涌·四件(4/4)满13段珍兽x1法防宠9红神宠,7天1时,,月宫,68496,32815,35681,12252,狮驼岭，月宫，大唐官府，阴曹地府，花果山,杀破狼，虎头怪，龙太子，剑侠客，巨魔王，神天兵,乌梅子酱,龙太子,"5","866,312",48,4978,2882,612,1236,1353,1335,277,2751,1%,1%,0%,0%,2300,2300,0,0,0,0,0,体质：115魔力：115力量：738耐力：115敏捷：115,红孩儿（天地）、观音菩萨（天地）、铁扇公主（天地）、唐僧（天地）、牛魔王（天地）、阎罗王（天）、青狮王（天）、北海龙子（天）、西海龙王（天）、汤圆（天）、法明长老（天）、镇元子（天）、小白龙（天）、白无常（天）、九头虫（天）、菩提老祖（天）、金箍棒灵（天）、惠岸行者（天）、北海龙王（天）、黄眉（天）、白象王（天）、大鹏王（天）、孙悟空、杏林仙、万圣公主、玉兔精、黄袍怪、嫦娥、哪吒、银角大王、青莲仙女、情丝娘子、孙婆婆、司药御侍、星宿神君、老鼠精、杨戬、大当家、李天王、猪八戒、蝎子精、九灵元圣、黑无常、北海龙女、沙和尚、百花羞、金角大王、太白金星、地藏菩萨、酒肉和尚、飞霞、空度禅师、玉面狐狸,1788,瑶池蜃境·1层通关、梦幻卡牌·初学乍练、七星地煞·举火燎天、九黎·扬名五洲、竞技场·小试牛刀、我心永恒、渔家乐·在水一方、九黎·号令四方、武林高手、九黎·三韬六略、剑会群雄·显赫、九黎·七星连珠、剑会群雄·无双一级、剑会群雄·嗜血、擂台争霸·战将、月华尊者、鹤鸣九皋、如鱼水·浪里白条、竞技场·十胜、剑会群雄·救死扶伤、精灵小助手·出众、神威月宫英才高手、剑会群雄·助人为乐、河洛上宾、梦幻迷城·新秀二级、剑会群雄·百胜、月宫英才高手、一星天罡·开天辟地、亿万热爱·青春梦幻
"https://my.cbg.163.com/cgi/mweb/equip/105/202311221601716-105-TOEV69VT9FLU?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       九转天阶前百名            门派排名第1名     双蓝装备x3惊雷碎胆·四件(4/4)满13段珍兽x1神兽x110红神宠,,2023-11-28 18:16,月宫,71540,35065,36475,13856,大唐官府，方寸山，狮驼岭，月宫，化生寺，阴曹地府，花果山,剑侠客，逍遥生，杀破狼，虎头怪，龙太子，漠少君，神天兵,橙三岁,龙太子,"80","4,286,031",54,5340,2886,623,1213,1337,1360,280,2682,2%,0%,0%,0%,2300,2300,0,0,51,0,18,体质：116魔力：115力量：743耐力：115敏捷：115,北海龙子（⭐ ⭐ ⭐ ）、法明长老（⭐ ⭐ ⭐ ）、酒肉和尚（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、阎罗王（⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、西海龙王（⭐ ⭐ ）、小白龙（⭐ ⭐ ）、老鼠精（⭐ ⭐ ）、蝎子精（⭐ ⭐ ）、唐僧（⭐ ⭐ ）、牛魔王（⭐ ⭐ ）、黄袍怪（⭐ ）、青莲仙女（⭐ ）、白无常（⭐ ）、红孩儿（⭐ ）、李天王（⭐ ）、大当家（⭐ ）、观音菩萨（⭐ ）、九头虫（⭐ ）、铁扇公主（⭐ ）、九灵元圣（⭐ ）、菩提老祖（⭐ ）、百花羞（⭐ ）、北海龙王（⭐ ）、青狮王（天地）、杏林仙（天地）、万圣公主（天地）、玉兔精（天地）、嫦娥（天地）、汤圆（天地）、哪吒（天地）、银角大王（天地）、情丝娘子（天地）、镇元子（天地）、孙婆婆（天地）、司药御侍（天地）、星宿神君（天地）、杨戬（天地）、猪八戒（天地）、黑无常（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、金角大王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、空度禅师（天地）、飞霞（天地）、黄眉（天地）、玉面狐狸（天地）、白象王（天地）,1984,海底蜃境·1层通关、竞技场·千战、问一答十、瑶池蜃境·1层通关、七星地煞·举火燎天、梦幻卡牌·略知一二、摸鱼儿·初涉垂钓、剑会群雄·绝世、剑会群雄·千胜、九黎·七星连珠、剑会群雄·无双一级、神威月宫第一高手、擂台争霸·战将、剑会群雄·嗜血、月华尊者、竞技场·嗜血、擂台争霸·幕后英雄、梦幻竞猜·睹始如终、竞技场·救死扶伤、剑会群雄·封印有术、竞技场·百胜、明日之星、剑会群雄·治疗高手、厚德树人、精灵小助手·小成、竞技场·助人为乐、梦幻迷城·先锋一级、月宫第一高手、剑会群雄·慈悲为怀、一星天罡·开天辟地
"https://my.cbg.163.com/cgi/mweb/equip/78/202309280801716-78-JVP00SKST5HLD?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第3名     风起雷涌·四件(4/4)满13段珍兽x2神兽x1善恶宠9红神宠,1天5时,,月宫,68138,34305,33833,13459,魔王寨，方寸山，大唐官府，龙宫，月宫，狮驼岭，花果山,巨魔王，杀破狼，剑侠客，逍遥生，虎头怪，神天兵，羽灵神，龙太子，漠少君,隔壁老七．,龙太子,"7,203","7,918,289",48,5314,2886,660,1183,1381,1369,325,2724,1%,0%,0%,0%,2300,2329,26,0,31,0,34,体质：115魔力：115力量：735耐力：115敏捷：118,李天王（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、九灵元圣（⭐ ⭐ ）、法明长老（⭐ ）、观音菩萨（⭐ ）、铁扇公主（⭐ ）、唐僧（⭐ ）、菩提老祖（⭐ ）、酒肉和尚（⭐ ）、阎罗王（天地）、青狮王（天地）、孙悟空（天地）、杏林仙（天地）、万圣公主（天地）、北海龙子（天地）、玉兔精（天地）、西海龙王（天地）、黄袍怪（天地）、嫦娥（天地）、哪吒（天地）、银角大王（天地）、青莲仙女（天地）、情丝娘子（天地）、镇元子（天地）、孙婆婆（天地）、小白龙（天地）、司药御侍（天地）、星宿神君（天地）、老鼠精（天地）、白无常（天地）、杨戬（天地）、红孩儿（天地）、大当家（天地）、九头虫（天地）、猪八戒（天地）、蝎子精（天地）、黑无常（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、金角大王（天地）、牛魔王（天地）、百花羞（天地）、北海龙王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、飞霞（天地）、空度禅师（天地）、黄眉（天地）、玉面狐狸（天地）、白象王（天地）、汤圆（天）,1915,竞技场·新秀一级、问一答十、江湖小虾、梦幻竞猜·算无遗策、七星地煞·举火燎天、九黎·扬名五洲、九黎·号令四方、九黎·三韬六略、九黎·七星连珠、为人师表、剑会群雄·嗜血、月华尊者、竞技场·嗜血、擂台争霸·无双、精灵小助手·窥径、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、神威月宫英才高手、剑会群雄·助人为乐、武神坛·勇士、梦幻迷城·新秀二级、竞技场·助人为乐、西江月·无名渔夫、剑会群雄·百胜、剑会群雄·无双二级、地狱蜃境·1层通关、月宫英才高手、剑会群雄·惊奇、一星天罡·开天辟地
"https://my.cbg.163.com/cgi/mweb/equip/83/202306131301716-83-6M2OLE0GYZJAH?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第1名     双蓝装备x2惊雷碎胆·四件(4/4)满13段珍兽x1善恶宠10红神宠,9天8时,,月宫,68888,33831,35057,12702,大唐官府，方寸山，月宫，阴曹地府，花果山，狮驼岭,漠少君，逍遥生，龙太子，虎头怪，剑侠客，杀破狼，羽灵神，巨魔王，神天兵,乾坤゛,龙太子,"2","21,482,949",48,5065,2836,642,1174,1375,1359,230,2762,2%,0%,0%,0%,2300,2300,0,0,0,0,0,体质：115魔力：115力量：738耐力：115敏捷：115,李天王（⭐ ⭐ ⭐ ）、九灵元圣（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ⭐ ）、法明长老（⭐ ）、牛魔王（⭐ ）、阎罗王（天地）、孙悟空（天地）、万圣公主（天地）、北海龙子（天地）、西海龙王（天地）、汤圆（天地）、青莲仙女（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、老鼠精（天地）、白无常（天地）、杨戬（天地）、红孩儿（天地）、观音菩萨（天地）、猪八戒（天地）、铁扇公主（天地）、蝎子精（天地）、唐僧（天地）、菩提老祖（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、惠岸行者（天地）、北海龙王（天地）、太白金星（天地）、地藏菩萨（天地）、黄眉（天地）、酒肉和尚（天地）、飞霞（天地）、空度禅师（天地）、玉面狐狸（天地）、白象王（天地）、青狮王（天）、杏林仙（天）、玉兔精（天）、黄袍怪（天）、嫦娥（天）、哪吒（天）、银角大王（天）、情丝娘子（天）、镇元子（天）、星宿神君（天）、大当家（天）、九头虫（天）、黑无常（天）、百花羞（天）、金角大王（天）,2016,满月·月之神君、瑶池蜃境·1层通关、问一答十、七星地煞·举火燎天、摸鱼儿·初涉垂钓、九黎·七星连珠、盖世英雄、剑会群雄·嗜血、竞技场·嗜血、月华尊者、擂台争霸·无双、剑会群雄·战将四级、擂台争霸·幕后英雄、梦幻竞猜·睹始如终、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、精灵小助手·出众、竞技场·百战、神威月宫英才高手、剑会群雄·助人为乐、武神坛·勇士、竞技场·助人为乐、剑会群雄·百胜、梦幻迷城·先锋一级、月宫英才高手、梦幻卡牌·登堂入室、剑会群雄·惊奇、一星天罡·开天辟地、循循善诱
"https://my.cbg.163.com/cgi/mweb/equip/50/202305221201716-50-HZXPP0SZO7XQK?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1701113740231erhQY&tag=user",115,       门派排名第1名     风起雷涌·四件(4/4)满13段珍兽x1嘲讽宠10红神宠特技x3,12天9时,,月宫,69023,33828,35195,12810,狮驼岭，大唐官府，月宫，花果山,杀破狼，剑侠客，漠少君，巨魔王，羽灵神，龙太子，越星河,烬霍鸽鸽。,龙太子,"93","732,674",48,5006,2866,631,1215,1358,1348,303,2739,2%,0%,0%,0%,2300,2319,0,27,0,0,0,体质：115魔力：115力量：738耐力：115敏捷：115,观音菩萨（⭐ ⭐ ⭐ ）、阎罗王（⭐ ⭐ ）、李天王（⭐ ⭐ ）、菩提老祖（⭐ ⭐ ）、北海龙王（⭐ ⭐ ）、孙悟空（⭐ ）、法明长老（⭐ ）、酒肉和尚（⭐ ）、青狮王（天地）、杏林仙（天地）、北海龙子（天地）、万圣公主（天地）、玉兔精（天地）、西海龙王（天地）、黄袍怪（天地）、汤圆（天地）、嫦娥（天地）、哪吒（天地）、银角大王（天地）、青莲仙女（天地）、情丝娘子（天地）、镇元子（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、星宿神君（天地）、老鼠精（天地）、杨戬（天地）、白无常（天地）、红孩儿（天地）、大当家（天地）、九头虫（天地）、铁扇公主（天地）、猪八戒（天地）、蝎子精（天地）、唐僧（天地）、九灵元圣（天地）、黑无常（天地）、金箍棒灵（天地）、北海龙女（天地）、沙和尚（天地）、金角大王（天地）、百花羞（天地）、牛魔王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、黄眉（天地）、飞霞（天地）、空度禅师（天地）、玉面狐狸（天地）、白象王（天地）、大鹏王（天地）,2050,海底蜃境·1层通关、竞技场·千战、问一答十、剑会群雄·王者一级、九黎·号令四方、渔家乐·在水一方、剑会群雄·千胜、九黎·三韬六略、九黎·七星连珠、神威月宫第一高手、六星地煞·移山覆海、盖世英雄、擂台争霸·战将、剑会群雄·嗜血、月华尊者、竞技场·嗜血、瑶池蜃境·2层通关、擂台争霸·幕后英雄、梦幻竞猜·睹始如终、竞技场·救死扶伤、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、考古者·古迹烟尘、诲人不倦、剑会群雄·助人为乐、武神坛·勇士、精灵小助手·小成、梦幻迷城·新秀二级、竞技场·助人为乐、西江月·无名渔夫、月宫第一高手、地狱蜃境·1层通关、剑会群雄·惊奇、一星天罡·开天辟地、亿万热爱·青春梦幻
