链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓,,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/421/202311111701716-421-0XVBKZTSIPSA?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越92.02%角色            门派排名第6名     满11段神兽x18红神宠特技x4逆满法宝x2满阶门派法宝,9天16时,,月宫,56531,29835,26696,9939,大唐官府，月宫，狮驼岭,剑侠客，逍遥生，龙太子，虎头怪,恩赐解脱、爆,龙太子,20,2,979,4879,2768,601,1103,1236,1251,281,2356,281,2356,1%,0%,0%,0%,2313,2326,0,0,28,0,0,体质：116魔力：118力量：732耐力：121敏捷：117,红孩儿（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、观音菩萨（⭐ ⭐ ）、唐僧（⭐ ⭐ ）、阎罗王（天地）、小白龙（天地）、牛魔王（天地）、北海龙子（天）、万圣公主（天）、西海龙王（天）、青莲仙女（天）、孙婆婆（天）、司药御侍（天）、老鼠精（天）、白无常（天）、李天王（天）、大当家（天）、铁扇公主（天）、猪八戒（天）、菩提老祖（天）、黑无常（天）、北海龙女（天）、百花羞（天）、惠岸行者（天）、飞霞（天）、酒肉和尚（天）、大鹏王（天）、玉兔精、黄袍怪、嫦娥、哪吒、银角大王、情丝娘子、镇元子、星宿神君、杨戬、蝎子精、沙和尚、金角大王、北海龙王、太白金星、地藏菩萨、空度禅师,1362,江湖小虾、竞技场·小试牛刀、剑会群雄·先锋二级、剑会群雄·钦佩、剑会群雄·助人为乐、梦幻迷城·新秀二级、地煞·履水吐焰、擂台争霸·战将、剑会群雄·百胜、月华尊者、八斗之才、剑会群雄·小试牛刀、竞技场·十胜、精灵小助手·窥径、亿万热爱·青春梦幻
"https://my-oppo.cbg.163.com/cgi/mweb/equip/358/202311142301716-358-0RR6FFD9B9XJ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越98.84%角色     双蓝装备x1满12段8红神宠特技x3满级阵法x5,10天4时,,花果山,54120,29226,24894,11126,狮驼岭，月宫,杀破狼,高山我梦ヾ゜,龙太子,18,559,773,5685,2907,611,1130,1063,1449,207,207,2648,0%,0%,0%,0%,10,2334,29,0,0,0,16,体质：125魔力：116力量：717耐力：122敏捷：120,酒肉和尚（⭐ ）、阎罗王（天地）、青狮王（天地）、孙悟空（天地）、杏林仙（天地）、北海龙子（天地）、万圣公主（天地）、西海龙王（天地）、法明长老（天地）、青莲仙女（天地）、镇元子（天地）、孙婆婆（天地）、小白龙（天地）、司药御侍（天地）、老鼠精（天地）、白无常（天地）、红孩儿（天地）、李天王（天地）、观音菩萨（天地）、铁扇公主（天地）、蝎子精（天地）、猪八戒（天地）、唐僧（天地）、九灵元圣（天地）、菩提老祖（天地）、黑无常（天地）、百花羞（天地）、牛魔王（天地）、北海龙王（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、飞霞（天地）、空度禅师（天地）、玉面狐狸（天地）、白象王（天地）、大鹏王（天地）、哪吒、星宿神君,1409,擂台争霸·幕后英雄、梦幻竞猜·睹始如终、竞技场·千战、竞技场·救死扶伤、瑶池蜃境·1层通关、江湖小虾、剑会群雄·封印有术、剑会群雄·精英三级、剑会群雄·助人为乐、竞技场·千胜、剑会群雄·崇拜、伏妖行者、竞技场·助人为乐、地煞·履水吐焰、擂台争霸·战将、剑会群雄·百胜、剑会群雄·嗜血、梦幻迷城·先锋一级、竞技场·嗜血、八斗之才、精灵小助手·窥径、亿万热爱·青春梦幻、循循善诱,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/354/202311050001716-354-CGV35W5LX8BS?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越94.57%角色     满11段8红神宠满阶门派法宝满阶乾坤一脉,9天2时,,月宫,56414,29924,26490,10354,阴曹地府，化生寺，方寸山，普陀山，大唐官府，狮驼岭，月宫，花果山,杀破狼，剑侠客，龙太子,小白不白、,龙太子,10,17,205,4872,2585,625,1384,1436,1249,289,289,2767,2%,0%,0%,0%,2317,2313,55,31,0,0,0,体质：116魔力：116力量：548耐力：115敏捷：309,酒肉和尚（⭐ ⭐ ）、黄袍怪（⭐ ）、阎罗王（天地）、观音菩萨（天地）、九头虫（天地）、猪八戒（天地）、蝎子精（天地）、铁扇公主（天地）、孙悟空（天地）、万圣公主（天地）、唐僧（天地）、菩提老祖（天地）、西海龙王（天地）、汤圆（天地）、法明长老（天地）、金角大王（天地）、牛魔王（天地）、百花羞（天地）、惠岸行者（天地）、孙婆婆（天地）、司药御侍（天地）、小白龙（天地）、飞霞（天地）、空度禅师（天地）、星宿神君（天地）、老鼠精（天地）、红孩儿（天地）、李天王（天地）、大鹏王（天地）、杨戬,1426,擂台争霸·幕后英雄、竞技场·救死扶伤、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、竞技场·治疗高手、剑会群雄·显赫、明日之星、梦幻竞猜·见时知几、剑会群雄·治疗高手、六星地煞·移山覆海、梦幻迷城·新秀二级、擂台争霸·战将、剑会群雄·百胜、剑会群雄·战将二级、剑会群雄·嗜血、月华尊者、竞技场·嗜血、八斗之才、精灵小助手·窥径、循循善诱,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/340/202311130001716-340-6FEAI4YUVUBI?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越91.71%角色     双蓝装备x1满12段特技x1满阶门派法宝满阶乾坤一脉满级阵法x2,9天3时,,大唐官府,52363,28190,24173,9847,大唐官府，月宫，狮驼岭,飞燕女，梦灵珑(仙族)，骨精灵,交亿认准老唐,飞燕女,41,400,964,5109,2840,575,1229,1115,1247,257,257,2805,4%,0%,0%,0%,0,2329,80,27,33,0,16,体质：115魔力：115力量：744耐力：115敏捷：115,孙悟空（天地）、汤圆（天地）、法明长老（天地）、老鼠精（天地）、红孩儿（天地）、蝎子精（天地）、铁扇公主（天地）、唐僧（天地）、酒肉和尚（天地）、大鹏王（天地）、阎罗王（天）、万圣公主（天）、黄袍怪（天）、西海龙王（天）、嫦娥（天）、哪吒（天）、镇元子（天）、孙婆婆（天）、小白龙（天）、星宿神君（天）、白无常（天）、大当家（天）、李天王（天）、观音菩萨（天）、猪八戒（天）、九灵元圣（天）、菩提老祖（天）、黑无常（天）、北海龙女（天）、百花羞（天）、牛魔王（天）、惠岸行者（天）、太白金星（天）,1632,瑶池蜃境·1层通关、梦幻卡牌·略知一二、九黎·扬名五洲、竞技场·小试牛刀、九黎·号令四方、渔家乐·在水一方、剑会群雄·精英一级、武林高手、牡丹御使、擂台争霸·战将、地煞·履水吐焰、鹤鸣九皋、竞技场·十胜、渔家傲·愿者上钩、擂台争霸·幕后英雄、凌波曲·独钓寒江、竞技场·百战、剑会群雄·十胜、厚德树人、梦幻迷城·新秀三级、精灵小助手·小成、定风波·河豚克星、剑会群雄·扬名、剑会群雄·小试牛刀、亿万热爱·青春梦幻,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/410/202311081401716-410-XQNFFU4WNBN2?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越98.30%角色            门派排名第6名     神兽x19红神宠特技x3逆满法宝x2满阶门派法宝满阶乾坤一脉,3天10时,,花果山,58293,29349,28944,9498,大唐官府，狮驼岭，月宫，方寸山，花果山,逍遥生，剑侠客，漠少君，杀破狼，羽灵神，神天兵，龙太子，虎头怪，越星河,封心葬大海。,龙太子,6,4,513,5160,2739,571,1074,931,1392,202,202,2408,0%,0%,0%,0%,0,2317,58,0,25,0,15,体质：115魔力：116力量：738耐力：115敏捷：115,蝎子精（⭐ ⭐ ⭐ ）、红孩儿（⭐ ⭐ ⭐ ）、李天王（⭐ ⭐ ⭐ ）、大鹏王（⭐ ⭐ ）、阎罗王（⭐ ）、铁扇公主（⭐ ）、孙悟空（⭐ ）、牛魔王（⭐ ）、酒肉和尚（⭐ ）、观音菩萨（天地）、猪八戒（天地）、唐僧（天地）、万圣公主（天地）、北海龙子（天地）、菩提老祖（天地）、西海龙王（天地）、汤圆（天地）、法明长老（天地）、沙和尚（天地）、青莲仙女（天地）、百花羞（天地）、惠岸行者（天地）、太白金星（天地）、地藏菩萨（天地）、孙婆婆（天地）、飞霞（天地）、小白龙（天地）、老鼠精（天地）、白无常（天地）、大当家（天地）、星宿神君,1265,擂台争霸·幕后英雄、江湖小虾、剑会群雄·封印有术、竞技场·百胜、竞技场·封印有术、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、考古者·墨色陈香、九黎·七星连珠、剑会群雄·勇者一级、剑会群雄·助人为乐、剑会群雄·钦佩、梦幻迷城·新秀三级、竞技场·助人为乐、地煞·履水吐焰、擂台争霸·战将、剑会群雄·百胜、竞技场·嗜血、八斗之才、剑会群雄·小试牛刀、精灵小助手·窥径、循循善诱,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/328/202311012101716-328-4C3ZJX3FATG5?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越98.60%角色     满11段满阶门派法宝满级阵法x1,10天17时,,狮驼岭,50100,26571,23529,9599,大唐官府，狮驼岭，月宫,剑侠客，杀破狼，巨魔王，龙太子,温孤天逸,虎头怪,7,62,108,5971,2751,540,1074,1000,1282,249,249,2304,3%,0%,0%,0%,0,2300,32,0,26,0,0,体质：116魔力：115力量：740耐力：115敏捷：118,铁扇公主（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、孙悟空（⭐ ⭐ ）、红孩儿（⭐ ⭐ ）、阎罗王（⭐ ）、北海龙子（⭐ ）、李天王（⭐ ）、地藏菩萨（⭐ ）、酒肉和尚（⭐ ）、大鹏王（⭐ ）、青狮王（天地）、杏林仙（天地）、万圣公主（天地）、汤圆（天地）、哪吒（天地）、老鼠精（天地）、观音菩萨（天地）、蝎子精（天地）、猪八戒（天地）、九灵元圣（天地）、菩提老祖（天地）、黑无常（天地）、沙和尚（天地）、惠岸行者（天地）、北海龙王（天地）、白象王（天地）、玉兔精（天）、西海龙王（天）、黄袍怪（天）、嫦娥（天）、法明长老（天）、镇元子（天）、孙婆婆（天）、小白龙（天）、白无常（天）、北海龙女（天）、牛魔王（天）、百花羞（天）、太白金星（天）、空度禅师（天）、飞霞（天）、星宿神君、金箍棒灵,1207,瑶池蜃境·1层通关、江湖小虾、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、渔家乐·在水一方、竞技场·百战、剑会群雄·显赫、剑会群雄·精英三级、梦幻竞猜·见时知几、剑会群雄·助人为乐、竞技场·助人为乐、地煞·履水吐焰、剑会群雄·百胜、剑会群雄·嗜血、八斗之才、如鱼水·浪里白条、精灵小助手·窥径、亿万热爱·青春梦幻、梦幻迷城·先锋三级,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/318/202310301201716-318-P6QYGAFQQRTJ?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越95.36%角色     满11段神兽x18红神宠逆满法宝x1满级阵法x1,8天8时,,花果山,51119,27790,23329,9623,方寸山，普陀山，龙宫，月宫,逍遥生，剑侠客，羽灵神，龙太子，神天兵,不空,龙太子,9,5,900,5061,2824,631,1100,1056,1380,324,2082,1%,2082,1%,0%,0%,0%,20,2325,0,0,0,0,15,体质：116魔力：117力量：734耐力：115敏捷：118,孙悟空（⭐ ）、北海龙子（⭐ ）、阎罗王（天地）、法明长老（天地）、老鼠精（天地）、红孩儿（天地）、猪八戒（天地）、唐僧（天地）、菩提老祖（天地）、惠岸行者（天地）、空度禅师（天地）、大鹏王（天地）、西海龙王（天）、小白龙（天）、杨戬（天）、李天王（天）、蝎子精（天）、九灵元圣（天）、北海龙女（天）、北海龙王（天）、星宿神君、百花羞、酒肉和尚,1201,擂台争霸·幕后英雄、江湖小虾、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、竞技场·小试牛刀、九黎·扬名五洲、摸鱼儿·初涉垂钓、九黎·号令四方、剑会群雄·勇者四级、竞技场·百战、九黎·三韬六略、剑会群雄·助人为乐、剑会群雄·崇拜、梦幻迷城·新秀二级、六星地煞·移山覆海、竞技场·助人为乐、剑会群雄·百胜、擂台争霸·战将、八斗之才、剑会群雄·小试牛刀、精灵小助手·窥径、循循善诱
"https://my-oppo.cbg.163.com/cgi/mweb/equip/328/202302140701716-328-7RJWPRRWKWTU?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越88.56%角色     8红神宠特技x1,2天20时,,大唐官府,51320,25824,25496,8440,无,剑侠客，逍遥生,遗失记忆,漠少君,0,0,38,4621,2640,562,985,1177,1182,308,2202,0%,0%,0%,0%,0,2300,0,0,0,0,0,体质：117魔力：115力量：710耐力：123敏捷：123,孙悟空（天地）、法明长老（天地）、青莲仙女（天地）、小白龙（天地）、老鼠精（天地）、红孩儿（天地）、观音菩萨（天地）、猪八戒（天地）、蝎子精（天地）、菩提老祖（天地）、金箍棒灵（天地）、沙和尚（天地）、惠岸行者（天地）、地藏菩萨（天地）、空度禅师（天地）、阎罗王（天）、青狮王（天）、杏林仙（天）、北海龙子（天）、万圣公主（天）、西海龙王（天）、嫦娥（天）、镇元子（天）、孙婆婆（天）、司药御侍（天）、李天王（天）、铁扇公主（天）、唐僧（天）、九灵元圣（天）、北海龙女（天）、牛魔王（天）、百花羞（天）、太白金星（天）、黄眉（天）、酒肉和尚（天）、飞霞（天）、玉面狐狸（天）、大鹏王（天）、星宿神君、白无常,1038,地煞·御风神行、瑶池蜃境·1层通关、飞骑御使、竞技场·小试牛刀、2019时光收藏者、竞技场·百战、海底蜃境·2层通关、倚马七纸、剑会群雄·十胜、剑会群雄·先锋二级、明日之星、梦幻迷城·新秀三级、西江月·无名渔夫、为人师表、剑会群雄·敬重、剑会群雄·小试牛刀、竞技场·十胜、精灵小助手·窥径、亿万热爱·青春梦幻,,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/358/202309110301716-358-JLWF3PWOSQWH?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越99.57%角色            门派排名第14名     神兽x19红神宠特技x1逆满法宝x1满阶门派法宝满级阵法x1,10时1分,,狮驼岭,52903,27582,25321,9857,大唐官府，月宫，化生寺，花果山,逍遥生，剑侠客，龙太子,吴兄°,杀破狼,4,248,238,5841,2801,575,1155,984,1228,313,2225,2225,1%,0%,0%,0%,13,2323,30,0,50,30,70,体质：115魔力：115力量：740耐力：116敏捷：115,酒肉和尚（⭐ ⭐ ⭐ ）、阎罗王（天地）、孙悟空（天地）、青狮王（天地）、法明长老（天地）、老鼠精（天地）、铁扇公主（天地）、菩提老祖（天地）、惠岸行者（天地）、大鹏王（天地）、北海龙子（天）、西海龙王（天）、孙婆婆（天）、小白龙（天）、红孩儿（天）、猪八戒（天）、蝎子精（天）、唐僧（天）、九灵元圣（天）、黑无常（天）、牛魔王（天）、飞霞（天）、空度禅师（天）、汤圆、星宿神君、李天王、观音菩萨、沙和尚、百花羞,1360,七星地煞·举火燎天、江湖小虾、竞技场·百胜、竞技场·小试牛刀、竞技场·百战、剑会群雄·显赫、梦幻竞猜·见时知几、剑会群雄·助人为乐、三界妖将、竞技场·助人为乐、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·嗜血、八斗之才、剑会群雄·战将三级、剑会群雄·慈悲为怀、精灵小助手·窥径、亿万热爱·青春梦幻、循循善诱,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/396/202309201901716-396-ISIDORHMPEW7?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越96.80%角色            门派排名第14名     石破天惊·四件(2/4)特技x1满阶乾坤一脉满级阵法x2,10天15时,,花果山,53966,29779,24187,10370,狮驼岭，月宫，花果山,虎头怪，羽灵神，龙太子,醉染ゞ,龙太子,13,329,615,6681,2539,619,1418,973,1285,259,2471,2471,4%,0%,0%,0%,0,2339,53,29,0,0,0,体质：115魔力：117力量：498耐力：115敏捷：355,孙悟空（⭐ ）、红孩儿（⭐ ）、李天王（⭐ ）、酒肉和尚（⭐ ）、法明长老（天地）、小白龙（天地）、老鼠精（天地）、蝎子精（天地）、铁扇公主（天地）、唐僧（天地）、菩提老祖（天地）、牛魔王（天地）、北海龙王（天地）、惠岸行者（天地）、阎罗王（天）、西海龙王（天）、观音菩萨（天）、猪八戒（天）、九灵元圣（天）、青狮王、杏林仙、万圣公主、北海龙子、黄袍怪、汤圆、镇元子、星宿神君、杨戬、北海龙女、百花羞、太白金星、白象王、大鹏王,1338,海底蜃境·1层通关、瑶池蜃境·1层通关、竞技场·小试牛刀、渔家乐·在水一方、剑会群雄·勇者一级、剑会群雄·崇拜、渔歌子·海天阔处、地煞·履水吐焰、梦幻迷城·先锋二级、精灵小助手·窥径、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、诲人不倦、明日之星、剑会群雄·助人为乐、竞技场·助人为乐、剑会群雄·百胜、八斗之才、剑会群雄·小试牛刀、搅海帅首、亿万热爱·青春梦幻,
